region	turnout2010	conservative	labour	libdems	ukip	snp	plaidcymru	green	uu	sdlp	dup	sinnfein	alliance	other
scotland	2485184	412905	1035528	465471	24825	491386	0	11802	0	0	0	0	0	43267
wales	1470665	382730	531602	295164	33894	0	165394	12063	0	0	0	0	0	49818
northernireland	670329	0	0	0	0	0	0	0	102361	110970	168216	171942	42762	74078
northeastengland	1195495	282347	518263	280468	34065	0	0	7674	0	0	0	0	0	72678
southeastengland	4293590	2116431	693916	1124686	194064	0	0	61854	0	0	0	0	0	102639
northwestengland	3282612	1038767	1289934	707774	104483	0	0	26676	0	0	0	0	0	114978
southwestengland	2777574	1187637	426910	962954	125106	0	0	34517	0	0	0	0	0	40450
london	3401332	1174477	1245625	751613	60719	0	0	53385	0	0	0	0	0	115513
yorkshireandthehumber	2423926	790062	826537	551738	71144	0	0	26611	0	0	0	0	0	157834
eastmidlands	2236998	915933	663869	463068	78533	0	0	16462	0	0	0	0	0	99133
westmidlands	2647420	1044081	808101	540280	105606	0	0	21923	0	0	0	0	0	127429
eastofengland	2888851	1075603	454731	554780	109239	0	0	34376	0	0	0	0	0	68853
