code,seats,change,votepercent,votepercentchange
conservative,42,-9,39.355451710704756,-8.00029227614656
labour,15,13,24.40117127778114,4.505431843916082
libdems,0,-4,11.812250045348144,-12.60655702996431
ukip,1,0,15.960888305361447,12.244883290028596
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,6.734087120263278,5.582696098385686
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,1.7361515405412409,-1.7261619262194927
total,58,,100.00000000000001,
