pollster	type	pollsterweight	date	day	month	year	region	total	conservative	labour	libdems	ukip	green	snp	plaidcymru	other	sdlp	sinnfein	alliance	dup	uu	weight
ashcroft	seat		12/03/2015	12	3	2015	Wirral West	628	37	42	5	10	5			1						
ashcroft	seat		07/03/2015	7	3	2015	Southampton Itchen	539	31	39	7	17	5									
ashcroft	seat		05/03/2015	5	3	2015	Halesowen and Rowley Regis	563	37	39	4	15	3			2						
ashcroft	seat		12/03/2015	12	3	2015	Croydon Central	524	37	41	3	13	5			1						
ashcroft	seat		19/02/2015	19	2	2015	West Aberdeenshire and Kincardine	1001	25	10	20	3	2	39								
ashcroft	seat		26/02/2015	26	2	2015	Ross, Skye and Lochaber	1000	8	9	35	3	5	40		1						
ashcroft	seat		19/02/2015	19	2	2015	Dumfriesshire, Clydesdale and Tweeddale	1000	34	18	7	4	2	34		1						
ashcroft	seat		19/02/2015	19	2	2015	Ayr, Carrick and Cumnock	1000	21	31	2	3		42		1						
ashcroft	seat		26/02/2015	26	2	2015	Dumfries and Galloway	1000	30	28	2	4	2	34								
ashcroft	seat		26/02/2015	26	2	2015	East Renfrewshire	1000	26	34	2	1	3	33								
ashcroft	seat		19/02/2015	19	2	2015	Edinburgh South West	1000	19	27	4	2	7	40								
ashcroft	seat		26/02/2015	26	2	2015	Kirkcaldy and Cowdenbeath	1000	7	39	3	3	3	45								
ashcroft	seat		12/02/2015	12	2	2015	Norwich North	1000	34	35	5	16	10									
ashcroft	seat		12/02/2015	12	2	2015	High Peak	1000	37	38	6	12	6			1						
ashcroft	seat		12/02/2015	12	2	2015	Vale of Glamorgan	1000	38	32	4	10	3		12	1						
ashcroft	seat		12/02/2015	12	2	2015	Colne Valley	1000	33	32	12	11	10			2						
ashcroft	seat		22/01/2015	22	1	2015	Airdrie and Shotts	1000	7	39	1	5	1	47		0						
ashcroft	seat		12/07/2014	12	7	2014	Amber Valley	482	34	35	4	23	3			2						
ashcroft	seat		30/07/2014	30	7	2014	Bedford	419	30	39	9	17	4			2						
lucidtalk	seat		28/01/2015	28	1	2015	Belfast East	820								22			29	34	15	
ashcroft	seat		13/09/2014	13	9	2014	Bermondsey and Old Southwark	561	14	35	36	9	5			2						
ashcroft	seat		28/08/2014	28	8	2014	Berwick-upon-Tweed	1000	33	16	30	17	3			1						
ashcroft	seat		31/10/2014	31	10	2014	Birmingham Yardley	503	12	31	34	19	2			1						
ashcroft	seat		18/10/2014	18	10	2014	Blackpool North and Cleveleys	1000	35	32	5	24	3			1						
survation	seat		24/11/2013	24	11	2013	Bognor Regis and Littlehampton	508	37	20	11	27	5			5						
ashcroft	seat		05/02/2015	5	2	2015	Boston and Skegness	1000	38	17	5	35	3			2						
ashcroft	seat		21/06/2014	21	6	2014	Bradford East	1000	12	45	23	15	2			3						
ashcroft	seat		01/11/2014	1	11	2014	Brecon and Radnorshire	553	27	15	31	17	2		8	0						
ashcroft	seat		22/06/2014	22	6	2014	Brent Central	478	13	54	19	7	5			1						
ashcroft	seat		26/09/2014	26	9	2014	Brentford and Isleworth	419	32	45	10	7	4			1						
ashcroft	seat		20/11/2014	20	11	2014	Brighton Pavilion	644	21	28	5	8	38			1						
ashcroft	seat		04/07/2014	4	7	2014	Broxtowe	491	30	39	7	18	4			2						
ashcroft	seat		30/10/2014	30	10	2014	Burnley	469	11	38	23	25	2			2						
icm	seat		08/04/2014	8	4	2014	Cambridge	500	18	41	8	5	5			2						
ashcroft	seat		27/10/2014	27	10	2014	Cannock Chase	1000	27	32	8	30	2			1						
ashcroft	seat		22/09/2014	22	9	2014	Cardiff Central	542	17	36	24	9	5		9	0						
ashcroft	seat		27/06/2014	27	6	2014	Cardiff North	1000	30	41	6	12	3		7	1						
ashcroft	seat		13/12/2014	13	12	2014	Carmarthen West and South Pembrokeshire	515	33	29	4	14	3		16	1						
ashcroft	seat		05/02/2015	5	2	2015	Castle Point	1002	37	16	3	36	2			6						
ashcroft	seat		05/03/2015	5	3	2015	City of Chester	548	34	45	7	10	3			1						
ashcroft	seat		17/01/2015	17	1	2015	Coatbridge, Chryston and Bellshill	1001	6	43	1	3	1	46		1						
ashcroft	seat		14/11/2014	14	11	2014	Colchester	505	22	17	36	18	6			1						
survation	seat		24/11/2013	24	11	2013	Crewe and Nantwich	313	33	46	6	11				5						
ashcroft	seat		22/01/2015	22	1	2015	Cumbernauld, Kilsyth and Kirkintilloch East	1000	6	34	2	3	3	52		1						
ashcroft	seat		23/11/2014	23	11	2014	Doncaster North	725	13	54	4	25	2			3						
ashcroft	seat		27/11/2014	27	11	2014	Dudley North	510	24	37	3	34				3						
ashcroft	seat		30/01/2015	30	1	2015	Dundee West	1000	6	25	3	2	5	59		0						
ashcroft	seat		06/12/2014	6	12	2014	Ealing Central and Acton	586	34	40	11	6	7			2						
ashcroft	seat		28/08/2014	28	8	2014	Eastleigh	538	25	12	40	21	2			1						
ashcroft	seat		13/12/2014	13	12	2014	Elmet and Rothwell	570	39	35	6	16	3			1						
ashcroft	seat		25/09/2014	25	9	2014	Enfield North	503	34	44	3	12	3			3						
survation	seat		04/04/2014	4	4	2014	Folkestone and Hythe	529	36	18	10	33	2			1						
ashcroft	seat		10/01/2015	10	1	2015	Glasgow Central	1000	5	35	3	3	7	45		2						
ashcroft	seat		08/01/2015	8	1	2015	Glasgow East	1001	4	37	1	4	2	51		2						
ashcroft	seat		10/01/2015	10	1	2015	Glasgow North	1001	5	33	4	1	11	45		1						
ashcroft	seat		08/01/2015	8	1	2015	Glasgow North East	1001	4	46	1	5	4	39		1						
ashcroft	seat		17/01/2015	17	1	2015	Glasgow North West	1000	7	38	3	2	5	44		1						
ashcroft	seat		16/01/2015	16	1	2015	Glasgow South	1001	9	33	2	3	3	48		1						
ashcroft	seat		15/01/2015	15	1	2015	Glasgow South West	1000	4	42	2	5	2	45		1						
ashcroft	seat		29/01/2015	29	1	2015	Gordon	1002	11	14	26	4	1	43		1						
ashcroft	seat		27/11/2014	27	11	2014	Great Grimsby	448	20	35	8	34				4						
ashcroft	seat		16/07/2014	16	7	2014	Great Yarmouth	441	33	28	3	32	3			2						
ashcroft	seat		03/08/2014	3	8	2014	Hampstead and Kilburn	570	32	48	10	3	6			2						
ashcroft	seat		07/12/2014	7	12	2014	Harrow East	524	40	37	6	13	3									
ashcroft	seat		15/11/2014	15	11	2014	Hazel Grove	564	29	15	35	17	4									
ashcroft	seat		29/06/2014	29	6	2014	Hendon	511	35	45	4	12	3			2						
ashcroft	seat		13/09/2014	13	9	2014	Hornsey and Wood Green	553	14	43	30	3	8			1						
ashcroft	seat		27/09/2014	27	9	2014	Hove	568	34	37	6	11	12									
ashcroft	seat		29/01/2015	29	1	2015	Inverness, Nairn, Badenoch and Strathspey	1000	10	13	21	4	1	50		1						
ashcroft	seat		04/07/2014	4	7	2014	Lancaster and Fleetwood	482	27	39	3	19	11			2						
ashcroft	seat		21/06/2014	21	6	2014	Manchester, Withington	1000	7	56	22	4	10			1						
ashcroft	seat		22/01/2015	22	1	2015	Motherwell and Wishaw	1000	5	39	1	3	1	50		1						
ashcroft	seat		05/02/2015	5	2	2015	North East Cambridgeshire	1000	46	17	7	25	4			1						
ashcroft	seat		28/06/2014	28	6	2014	North Warwickshire	1000	30	41	2	22	2			2						
ashcroft	seat		21/06/2014	21	6	2014	Norwich South	1000	18	33	12	15	20			1						
ashcroft	seat		05/03/2015	5	3	2015	Nuneaton	533	35	38	3	15	8			2						
ashcroft	seat		21/06/2014	21	6	2014	Oxford West and Abingdon	550	38	18	30	9	4									
ashcroft	seat		29/01/2015	29	1	2015	Paisley and Renfrewshire South	1000	6	40	2	1	2	48		1						
ashcroft	seat		14/12/2014	14	12	2014	Pendle	525	36	33	11	17	2			1						
ashcroft	seat		23/07/2014	23	7	2014	Plymouth, Sutton and Devonport	506	27	35	3	22	8			1						
ashcroft	seat		06/11/2014	6	11	2014	Portsmouth South	555	30	20	25	17	6			1						
ashcroft	seat		06/09/2014	6	9	2014	Redcar	1000	12	44	18	23	2			1						
ashcroft	seat		29/11/2014	29	11	2014	Rother Valley	480	18	40	4	34	3			2						
ashcroft	seat		22/11/2014	22	11	2014	Sheffield Hallam	962	19	30	27	13	10			1						
ashcroft	seat		05/02/2015	5	2	2015	South Basildon and East Thurrock	1001	35	28	3	29	3			1						
ashcroft	seat		12/03/2015	12	3	2015	South Swindon	519	37	37	5	16	4			1						
survation	seat		20/02/2015	20	2	2015	South Thanet	696	27	28	2	39	3			1						
survation	seat		05/12/2014	5	12	2014	South West Surrey	587	57	11	8	15	7			1						
ashcroft	seat		16/08/2014	16	8	2014	St. Austell and Newquay	493	27	13	26	25	6			3						
ashcroft	seat		13/12/2014	13	12	2014	Stevenage	497	33	38	7	18	3									
survation	seat		12/11/2014	12	11	2014	Stockton South	571	39	37	3	18	3									
ashcroft	seat		16/07/2014	16	7	2014	Stroud	561	30	41	6	11	11									
ashcroft	seat		26/06/2014	26	6	2014	Thurrock	1002	28	30	2	36				4						
icm	seat		30/04/2014	30	4	2014	Twickenham	278	34	23	32	5	4			2						
ashcroft	seat		06/12/2014	6	12	2014	Warwick and Leamington	534	38	34	7	14	7									
ashcroft	seat		20/11/2014	20	11	2014	Watford	506	30	24	28	14	3			1						
ashcroft	seat		22/01/2015	22	1	2015	West Dunbartonshire	1000	6	38	1	4	2	47		1						
survation	seat		04/12/2014	4	12	2014	Witney	531	53	16	4	19	7			1						
ashcroft	seat		12/03/2015	12	3	2015	Worcester	542	40	34	4	13	7			2						
ashcroft	seat		20/11/2014	20	11	2014	Wyre Forest	488	34	21	4	29	6			6						
